"Jahr";"Portfolio_Typ";"Aktie";"Gewicht"
"2010";"Min Variance";"HORMEL.FOODS";0,1317
"2010";"Min Variance";"GENERAL.MILLS";0,1209
"2010";"Min Variance";"CLOROX";0,0997
"2010";"Min Variance";"C.R.BARD.DEAD";0,085
"2010";"Min Variance";"CONAGRA.BRANDS";0,0625
"2010";"Min Variance";"LABCORP.HOLDINGS";0,0622
"2010";"Min Variance";"CONSOLIDATED.EDISON";0,0615
"2010";"Min Variance";"JOHNSON...JOHNSON";0,0538
"2010";"Min Variance";"REYNOLDS.AMERICAN.DEAD";0,0449
"2010";"Min Variance";"WEC.ENERGY.GROUP";0,044
"2010";"Min Variance";"BECTON.DICKINSON";0,0357
"2010";"Min Variance";"CEPHALON.DEAD";0,0304
"2010";"Min Variance";"THE.CAMPBELL.S.COMPANY";0,03
"2010";"Min Variance";"PEPSICO";0,026
"2010";"Min Variance";"WALMART";0,0225
"2010";"Min Variance";"LORILLARD.DEAD";0,0198
"2010";"Min Variance";"AON.CLASS.A";0,0178
"2010";"Min Variance";"NEWMONT";0,0153
"2010";"Min Variance";"MCCORMICK...COMPANY.NV.";0,0097
"2010";"Min Variance";"ABBOTT.LABORATORIES";0,0077
"2010";"Min Variance";"SOUTHERN";0,0075
"2010";"Min Variance";"DAVITA";0,0054
"2010";"Min Variance";"MCDONALDS";0,0038
"2010";"Min Variance";"MOLSON.COORS.BEVERAGE.COMPANY.B";0,0017
"2010";"Min Variance";"LEXMARK.INTL..DEAD";7e-04
"2010";"Target Vol 15%";"GENERAL.MILLS";0,1625
"2010";"Target Vol 15%";"LORILLARD.DEAD";0,1478
"2010";"Target Vol 15%";"HORMEL.FOODS";0,1202
"2010";"Target Vol 15%";"WEC.ENERGY.GROUP";0,0698
"2010";"Target Vol 15%";"MCDONALDS";0,0692
"2010";"Target Vol 15%";"C.R.BARD.DEAD";0,052
"2010";"Target Vol 15%";"BAXTER.INTL.";0,0484
"2010";"Target Vol 15%";"STERICYCLE.DEAD";0,0478
"2010";"Target Vol 15%";"APPLE";0,0439
"2010";"Target Vol 15%";"LABCORP.HOLDINGS";0,0432
"2010";"Target Vol 15%";"BOOKING.HOLDINGS";0,035
"2010";"Target Vol 15%";"AON.CLASS.A";0,0271
"2010";"Target Vol 15%";"COVISTA";0,0245
"2010";"Target Vol 15%";"J.M.SMUCKER";0,02
"2010";"Target Vol 15%";"REYNOLDS.AMERICAN.DEAD";0,0187
"2010";"Target Vol 15%";"BECTON.DICKINSON";0,0173
"2010";"Target Vol 15%";"MEDCO.HEALTH.SLTN..DEAD";0,0144
"2010";"Target Vol 15%";"CEPHALON.DEAD";0,0123
"2010";"Target Vol 15%";"COLGATE.PALM.";0,0088
"2010";"Target Vol 15%";"CENCORA";0,0061
"2010";"Target Vol 15%";"INTUITIVE.SURGICAL";0,0059
"2010";"Target Vol 15%";"NEWMONT";0,0029
"2010";"Target Vol 15%";"CLOROX";0,002
"2010";"Target Vol 18%";"LORILLARD.DEAD";0,2304
"2010";"Target Vol 18%";"GENERAL.MILLS";0,1381
"2010";"Target Vol 18%";"HORMEL.FOODS";0,0845
"2010";"Target Vol 18%";"BOOKING.HOLDINGS";0,0765
"2010";"Target Vol 18%";"APPLE";0,0727
"2010";"Target Vol 18%";"MCDONALDS";0,0698
"2010";"Target Vol 18%";"STERICYCLE.DEAD";0,0554
"2010";"Target Vol 18%";"COVISTA";0,0483
"2010";"Target Vol 18%";"BAXTER.INTL.";0,0414
"2010";"Target Vol 18%";"MEDCO.HEALTH.SLTN..DEAD";0,0379
"2010";"Target Vol 18%";"INTUITIVE.SURGICAL";0,0364
"2010";"Target Vol 18%";"EXPRESS.SCRIPTS.HOLDING.DEAD";0,0261
"2010";"Target Vol 18%";"MASTERCARD";0,0229
"2010";"Target Vol 18%";"WEC.ENERGY.GROUP";0,0209
"2010";"Target Vol 18%";"CELGENE.DEAD";0,0167
"2010";"Target Vol 18%";"CENCORA";0,0137
"2010";"Target Vol 18%";"J.M.SMUCKER";0,0083
