"Jahr";"Portfolio_Typ";"Rendite_Prozent";"Vola_Prozent"
"2010";"Min Variance";8,48;13,38
"2010";"Target Vol 15%";18,27;15
"2010";"Target Vol 18%";27,02;18
"2010";"Target Vol 21%";33,9;21
"2010";"Target Vol 24%";39,93;24
"2015";"Min Variance";14,9;9,28
"2015";"Target Vol 15%";38,74;15
"2015";"Target Vol 18%";44,08;18
"2015";"Target Vol 21%";48,27;21
"2015";"Target Vol 24%";51,56;24
"2020";"Min Variance";14,07;8,95
"2020";"Target Vol 15%";37,6;14,99
"2020";"Target Vol 18%";42,44;18
"2020";"Target Vol 21%";46,28;21,01
"2020";"Target Vol 24%";49,66;24,01
"2025";"Min Variance";12,22;12,55
"2025";"Target Vol 15%";31,19;14,99
"2025";"Target Vol 18%";40,23;18
"2025";"Target Vol 21%";47,22;21
"2025";"Target Vol 24%";52,94;23,99
